record_id,parent_id,missing
IMP_0001,EVT_0001,source_url
IMP_0002,EVT_0001,source_url
IMP_0003,EVT_0001,source_url
IMP_0004,EVT_0002,source_url
IMP_0005,EVT_0002,source_url
IMP_0006,EVT_0003,source_url
IMP_0007,EVT_0003,source_url
IMP_0008,EVT_0004,source_url
IMP_0009,EVT_0004,source_url
IMP_0010,EVT_0005,source_url
IMP_0011,EVT_0007,source_url
IMP_0012,EVT_0007,source_url
IMP_0013,EVT_0008,source_url
IMP_0014,EVT_0010,source_url
IMP_001,EVT_0001,source_url
IMP_002,EVT_0001,source_url
IMP_003,EVT_0003,source_url
IMP_004,EVT_0003,source_url
IMP_005,EVT_0004,source_url
IMP_006,EVT_0004,source_url
IMP_007,,"parent_id,source_url"
